Customer_ID,Recommended_Category,Reason,Confidence,RFM_Segment,Cluster_Name,Predicted_CLV,Churn_Probability
CUS000918,Seeds,Hybrid (Collaborative + Association),1.0,Loyal Customers,Lost Low-Value,400638.18050574017,0.999323078712422
CUS000918,Fertilizer,Hybrid (Collaborative + Association),1.0,Loyal Customers,Lost Low-Value,400638.18050574017,0.999323078712422
CUS000918,Equipment,Association Rules,1.0,Loyal Customers,Lost Low-Value,400638.18050574017,0.999323078712422
CUS000919,Equipment,Association Rules,0.31512959466284873,Need Attention,Mid-Tier Customers,11696.4396740423,0.9996253457127178
CUS000919,Feed,Association Rules,0.29012955797697954,Need Attention,Mid-Tier Customers,11696.4396740423,0.9996253457127178
CUS000919,Fruits,Association Rules,0.2690364625410675,Need Attention,Mid-Tier Customers,11696.4396740423,0.9996253457127178
CUS000920,Other,Hybrid (Collaborative + Association),1.0,Loyal Customers,Lost Low-Value,434583.68922286766,0.999381892404916
CUS000920,Fruits,Association Rules,0.701729436554542,Loyal Customers,Lost Low-Value,434583.68922286766,0.999381892404916
CUS000920,Equipment,Association Rules,0.671219835254151,Loyal Customers,Lost Low-Value,434583.68922286766,0.999381892404916
CUS000921,Equipment,Association Rules,0.31512959466284873,At Risk,Lost Low-Value,143595.11699629383,0.999323078712422
CUS000921,Feed,Association Rules,0.29012955797697954,At Risk,Lost Low-Value,143595.11699629383,0.999323078712422
CUS000921,Fruits,Association Rules,0.2690364625410675,At Risk,Lost Low-Value,143595.11699629383,0.999323078712422
CUS000922,Equipment,Association Rules,0.31512959466284873,Lost,Lost Low-Value,106318.70226897078,0.999323078712422
CUS000922,Feed,Association Rules,0.29012955797697954,Lost,Lost Low-Value,106318.70226897078,0.999323078712422
CUS000922,Fruits,Association Rules,0.2690364625410675,Lost,Lost Low-Value,106318.70226897078,0.999323078712422
CUS000923,Equipment,Association Rules,0.31512959466284873,Loyal Customers,Lost Low-Value,1408873.2434422905,0.9995130750898248
CUS000923,Feed,Association Rules,0.29012955797697954,Loyal Customers,Lost Low-Value,1408873.2434422905,0.9995130750898248
CUS000923,Fruits,Association Rules,0.2690364625410675,Loyal Customers,Lost Low-Value,1408873.2434422905,0.9995130750898248
CUS000924,Equipment,Association Rules,0.31512959466284873,About to Sleep,Lost Low-Value,17948.836580040865,0.9995457789599156
CUS000924,Feed,Association Rules,0.29012955797697954,About to Sleep,Lost Low-Value,17948.836580040865,0.9995457789599156
CUS000924,Fruits,Association Rules,0.2690364625410675,About to Sleep,Lost Low-Value,17948.836580040865,0.9995457789599156
CUS000925,Equipment,Association Rules,0.31512959466284873,Need Attention,Mid-Tier Customers,36446.48681954613,0.9996253457127178
CUS000925,Feed,Association Rules,0.29012955797697954,Need Attention,Mid-Tier Customers,36446.48681954613,0.9996253457127178
CUS000925,Fruits,Association Rules,0.2690364625410675,Need Attention,Mid-Tier Customers,36446.48681954613,0.9996253457127178
CUS000926,Fruits,Association Rules,0.701729436554542,Loyal Customers,Lost Low-Value,389913.8573425572,0.9996044350586212
CUS000926,Equipment,Association Rules,0.671219835254151,Loyal Customers,Lost Low-Value,389913.8573425572,0.9996044350586212
CUS000926,Feed,Association Rules,0.6386166672251756,Loyal Customers,Lost Low-Value,389913.8573425572,0.9996044350586212
CUS000927,Equipment,Association Rules,0.31512959466284873,Promising,Mid-Tier Customers,151703.7226221987,0.9994683129513952
CUS000927,Feed,Association Rules,0.29012955797697954,Promising,Mid-Tier Customers,151703.7226221987,0.9994683129513952
CUS000927,Fruits,Association Rules,0.2690364625410675,Promising,Mid-Tier Customers,151703.7226221987,0.9994683129513952
CUS000928,Fruits,Association Rules,0.701729436554542,Hibernating,Lost Low-Value,48446.40257116147,0.9995457789599156
CUS000928,Equipment,Association Rules,0.671219835254151,Hibernating,Lost Low-Value,48446.40257116147,0.9995457789599156
CUS000928,Feed,Association Rules,0.6386166672251756,Hibernating,Lost Low-Value,48446.40257116147,0.9995457789599156
CUS000929,Equipment,Association Rules,0.31512959466284873,Hibernating,Lost Low-Value,60136.53704956741,0.9995457789599156
CUS000929,Feed,Association Rules,0.29012955797697954,Hibernating,Lost Low-Value,60136.53704956741,0.9995457789599156
CUS000929,Fruits,Association Rules,0.2690364625410675,Hibernating,Lost Low-Value,60136.53704956741,0.9995457789599156
CUS000930,Equipment,Association Rules,0.31512959466284873,Champions,Mid-Tier Customers,933198.0575226232,0.9996298590208514
CUS000930,Feed,Association Rules,0.29012955797697954,Champions,Mid-Tier Customers,933198.0575226232,0.9996298590208514
CUS000930,Fruits,Association Rules,0.2690364625410675,Champions,Mid-Tier Customers,933198.0575226232,0.9996298590208514
CUS000931,Equipment,Association Rules,0.31512959466284873,Promising,Mid-Tier Customers,48691.36304870992,0.9996253457127178
CUS000931,Feed,Association Rules,0.29012955797697954,Promising,Mid-Tier Customers,48691.36304870992,0.9996253457127178
CUS000931,Fruits,Association Rules,0.2690364625410675,Promising,Mid-Tier Customers,48691.36304870992,0.9996253457127178
CUS000932,Fruits,Association Rules,0.701729436554542,Loyal Customers,Lost Low-Value,287085.81733648235,0.9995457789599156
CUS000932,Equipment,Association Rules,0.671219835254151,Loyal Customers,Lost Low-Value,287085.81733648235,0.9995457789599156
CUS000932,Feed,Association Rules,0.6386166672251756,Loyal Customers,Lost Low-Value,287085.81733648235,0.9995457789599156
CUS000933,Fruits,Association Rules,0.5180207407407407,Big Spenders,Mid-Tier Customers,2117710.890766659,0.9994824613302168
CUS000933,Fertilizer,Association Rules,0.49025475805136304,Big Spenders,Mid-Tier Customers,2117710.890766659,0.9994824613302168
CUS000933,Feed,Association Rules,0.3175660749506903,Big Spenders,Mid-Tier Customers,2117710.890766659,0.9994824613302168
CUS000934,Equipment,Association Rules,0.31512959466284873,Lost,Lost Low-Value,5391.869821424895,0.9996253440568956
