Customer_ID,RFM_Segment,Action,Monetary,Predicted_CLV,Churn_Probability,Purchase_Timing_Status,Recency
CUS001284,Big Spenders,URGENT: Win-back VIP,1323250.0,1260712.8041017582,0.999461216657588,New/One-time,1079
CUS001862,Big Spenders,URGENT: Win-back VIP,1128000.0,1164561.3406203103,0.9993293949183487,New/One-time,1624
CUS001161,Big Spenders,URGENT: Win-back VIP,1035000.0,1056975.1223325843,0.999610888957621,New/One-time,1092
CUS000986,Big Spenders,URGENT: Win-back VIP,915500.0,917905.849536259,0.9992113846807529,New/One-time,1499
CUS000645,Big Spenders,URGENT: Win-back VIP,871250.0,927060.3446101372,0.9995970232718681,New/One-time,1154
CUS001892,Big Spenders,URGENT: Win-back VIP,780000.0,845531.8440460498,0.99953128343579,New/One-time,1830
CUS001568,Big Spenders,URGENT: Win-back VIP,703250.0,685254.2259106433,0.999222212393473,Severely Overdue,1876
CUS001330,Big Spenders,URGENT: Win-back VIP,689000.0,659904.8229626005,0.999322333732557,Severely Overdue,1828
CUS002615,Big Spenders,URGENT: Win-back VIP,639000.0,623428.6378211827,0.999326516936416,Severely Overdue,1897
CUS003054,Big Spenders,URGENT: Win-back VIP,579500.0,582162.4008784443,0.9993247128258617,New/One-time,1953
CUS000065,Big Spenders,URGENT: Win-back VIP,625000.0,506685.0209071993,0.9993410718920314,Severely Overdue,1876
CUS000732,Big Spenders,URGENT: Win-back VIP,513199.84,521998.73542145494,0.9994829864491211,New/One-time,786
CUS002871,Big Spenders,URGENT: Win-back VIP,700000.0,210565.34595878248,0.9995970232718681,New/One-time,1173
CUS001442,Big Spenders,URGENT: Win-back VIP,4665000.0,4657433.949807406,0.9996434080244132,New/One-time,2064
CUS000249,Big Spenders,URGENT: Win-back VIP,3948000.0,3946951.3365498674,0.9996333271754345,New/One-time,1503
CUS001140,Big Spenders,URGENT: Win-back VIP,1254400.0,1230763.3976131652,0.9991446266164608,New/One-time,2009
CUS001397,Big Spenders,URGENT: Win-back VIP,1069000.0,1026258.2969740808,0.9992303160258114,New/One-time,1895
